ID Ticket AgID;Richiesta;Risposta;Note Integrative
56228c2a75bf487199bd44116a0e50ca;"In ambiente di Collaudo abbiamo provato a fare l'inserimento di un nuovo procedimento per Regione Toscana. Compilati tutti i campi obbligatori e agganciato un modulo già esistente, se clicchiamo su ""conferma procedimento"" appare un messaggio di errore che riporta ""Errore procedimento già presente con questa data"" e quindi non riusciamo a salvare.";"La presente richiesta chiede un supporto circa l'inserimento di un procedimento all'interno del Catalogo SSU. Data la natura della richiesta, la invitiamo a contattare InfoCamere per richiedere supporto in merito alle funzionalità ed eventuali bug del sistema del Catalogo SSU rilasciato in ambiente di Collaudo.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
n.a.;"Metodo “sendinstance”: l’indice istanza è libero?
";"L'indice istanza (InstanceIndex) contine la lista di documenti associati ad una istanza resa disponibile da una componete (ad esempio Front-office SUAP a Back-office SUAP) che sono identificati univocamente da un proprio resource_id. Il resource_id è un identificativo univoco nel dominio della componente,  quindi è l'unica chiave che permette il recupero di un documento dell'istanza reso dispoponibile dai componenti SUAP ed ET. La resource_id è strettamente legato al ""ref"" della risporsa presente nel istance-description, ovvero il riferimento in relazione al CUI dell'istanza. Tale attributo ""ref"" presente sull'instance-index deve corrispondere presenti  nell'InstanceDescriptor:
 - ""activity_model"" (usecase_proceedings.instance.activity_model);
 - ""attachments"" (usecase_proceedings.attachments).

Così facendo, si crea un legame tra un documento e l'istanza a cui è associato tramite il quale viene garantito l'accesso a tale risorsa tramite il servizio ""/instance/{cui_uuid}/document/{resource_id}"".";n.a.
n.a.;E’ consentito avere nell'index-instance N file appartenenti allo stesso usecase?;"Si, l'instance-index contiene la lista di documenti associati ad una istanza, vedi risposta precedente.

Data una fattispecie (usecase_proceeding), ad essa sarà associato un unico modulo ""activity_model"" ma possono essere prefesenti più documenti ""attachment"". Ogni risorsa deve essere identificata associata ad un unico ""ref"", presente all'interno della istance-description, per garantire un recupero corretto delle risorse.

";n.a.
n.a.;Dalle specifiche si evince che la piattaforma SSU contempla procedimenti nazionali, regionali e comunali che dovranno essere caricati sulla piattaforma secondo le modalità previste dagli Enti autorizzati. Volevamo quindi capire se poi, interrogando le api per un dato Comune, otterremo il procedimento filtrato in maniera corretta. Ovvero se per tale Comune è stato caricato il procedimento specifico comunale, ci verrà ritornato quello. In caso contrario, se esistesse il procedimento a livello regionale il sistema ritornerà quello. Infine, se tale procedimento non esiste né a livello comunale, né a livello regionale, verrà ritornato quello nazionale. Comunque sia, dato un Comun, e dato un procedimento, ci verrà ritornato sempre e solo quello più “vicino” al Comune, non verranno ritornati più procedimenti (es. regionale e nazionale o, nel caso peggiore, comunale, regionale e nazionale). Corretto?;"Si conferma quanto specificato per la logica di recupero dei procedimenti legati ad un ambito territoriale. Il ""territorial_scope"" contenuto all'interno di un procedimento indica l'ambito territoriale dello stesso, identificato dal codice ISTAT a 6 cifre. Tale codice può assumere il valore ""000000"" per ricondurre un procedimento con inquadramento a livello Nazionale, alternativamente, i codici assumeranno le seguenti forme in relazione all'ambito territoriale in cui il procedimento si applica:
  - XX = codice istat 2 cifre regione = REGIONE;
  - XXX = codice istat 3 cifre provincia = PROVINCIA;
  - XXXXXX = codice istat 6 cifre comune = COMUNE.

Il codice identificativo dell'ambito territoriale viene utilizzato per la ricerca del procedimento più prossimo al Comune. In breve, dato un Comune, per la coppia evento della vita e tipologia procedimento, si selezionano:
- il procedimento se definito su base comunale;
- altrimenti, il procedimento se definito su base provinciale;
- altrimenti, il procedimento se definito su base regionale;
- altrimento, il procedimento definito su base nazionale.";n.a.
n.a.;La proprietà “Municipality” ritornata dell’API è quello che nello schema ER viene indicato come “ambito territoriale”? Tale proprietà indica il Comune a cui lo specifico procedimento si riferisce? Cioè la lista dei proceeding con Municipality=XYZ sono tutti i procedimenti presentabili per il Comune XYZ?;"La ""municipality"" rappresenta l'identificativo del comune ed è necessario a determinare l'ambito territoriale del procedimento. L'attributo ""municipality"" è utilizzato per recuperare il/i procedimento/i applicato nello specifico Comune (vedi in merito risposta precedente).

Per quanto riguarda l'ultima affermazione, ricorrendo sempre ad un esempio, è comunque possibile presentare un procedimento che ha territorital_scope=PROVINCIA SAVONA per il comune di Albenga e per tutti i Comuni della provincia.";n.a.
n.a.;"Abbiamo visto che ogni categoria di informazioni prevede l’attributo “version”. L’abbiamo notato sia nello schema ER che nei dati ritornati dalle bulk. Si chiede se tale versione è effettivamente poi usata per ogni entità e, quindi, si chiedono chiarimenti su come questa debba essere gestita\interpretata. Dobbiamo sempre far riferimento alla versione più recente? Facciamo un paio di esempi:
-	Sistema ente terzo: cosa significa la version? Che senso avrebbe far riferimento ad unna versione che non sia l’ultima?
-	Regime amministrativo. Che senso ha far riferimento ad una versione che non sia l’ultima?
L’impressione è che sia stata messa, in forma un po’ preventiva, la version su tutti gli elementi. Ma verrà poi effettivamente utilizzata? Questo è importante per capire come impostare le logiche applicative. Ovviamente il dover gestire un versioning su tutti gli elementi è abbastanza impattante.
Detto questo, facendo riferimento allo schema ER ed ai dati ritornati dalle bulk, sarebbe corretto pensare alla combinazione ID + Version come all’identificativo univoco dell’entità?";"L'attributo version è stato introdotto per tenere traccia di tutte le variazioni delle entità, tecniche o amministrative, gestite nel catalogo. Le entità Tecniche sono tutte quelle entità che hanno tra i suoi attributi il ""Riferimento Telematico"", ovvero tutte le entità che rappresentano i componenti informatici dei sistemi Enti Terzi, Front-Office e Back-Office. Le entità Amministrative sono le rimanenti, quindi tutte le entità che compongono i procedimenti amministrativi. In fondo,  viene riportata due liste di dettaglio per le due categorie descritte.
Provando a spiegare l'utilità di tale attributo in un caso pratico, assumendo che vi siano dei procedimenti SUAP già avviati e nel mentre si verifica un'aggiornamento normativo o tecnico (per le componenti) che non può essere retroattivo. Dato questo caso, tutti procedimenti già avviati dovranno essere chiusi con la versione adottata in fase di avvio, differentemente, i nuovi procedimenti avviati devono essere gestiti utilizzando le nuove versioni delle entità coinvolte.
Constatata l'importanza della versione, si conferma che questo attributo deve essere utilizzato come chiave secondaria insieme alla chiave primaria ID.

Volendo approfondire invece una possibile strategia di attuazione degli aggiornamenti delle entità, si possono definire i due seguenti approcci:
- Aggiornamento entità Amministrative: le entità che compongono i procedimenti amministrativi sono regolamentati dalle norme e i loro aggiornamenti non sono retroattivi, pertanto, tutti i procedimenti SUAP avviati prima di un certo aggiornamento, dovranno essere chiusi continuando ad utilizzare la versione adottata in fase di avvio. Differentemente, i nuovi procedimenti avviati a seguito di un rilascio dovranno seguire quanto indicato nel nuovo aggiornamento;
- Aggiornamento entità Tecniche: le  entità che rappresentano i componenti informatici, possono essere gestite liberamente secondo la libertà organizzativa delle amministrazioni, le quali dovranno definire le loro logiche di routing interno per reindirizzare le richieste ai componenti rilasciati, mantenendo unico il punto di contatto esposto alle altre amministrazioni.

Di seguito, la lista delle entità suddivise per categoria:
- Entità Amministrative:
   - Struttura Ente
   - Sportello SUAP
   - Procedimento
   - Fattispecie Procedimento
   - Endoprocedimento
   - Regime Amministrativo
   - Modulo
    - XSD
    - Schematron
    - Allegato

- Entità Tecniche:  
   - sistema FO
   - sistema BO
   - sistema ET";n.a.
n.a.;"
Interrogando le API che ritornano i sistemi di back-office e fornt-office (/suaps-fo-systems/{id_suap_list},
/suaps-bo-systems/{id_suap_list}) viene ritornato il riferimento telematico: telematic_ref. È il riferimento dell’eservice nella PDND?
È tramite tale riferimento che si dovrà creare la comunicazione con le API del relativo sistema, recuperando quindi tutte le informazioni (certificati, clientid, url, ecc)?";Nel branch approved01 i servizi citati (/suaps-fo-systems/{id_suap_list} e /suaps-bo-systems/{id_suap_list}) restituiscono rispettivamente i parametri e_service_to_bo, e_service_to_cu ed e_service_to_fo, e_service_to_et, e_service_to_ri che rappresentano  l'UUID del servizio sulla PDND esposto dalla componente FO al BO. Quindi, tramite questo attributo viene esposto il punto di contatto tramite il quale  è possibile richiamare i servizi esposti dalla componente FO. ;n.a.
n.a.;"
L’API /competent-administrations-systems/{id_competent_administrations_list} attualmente non ritorna alcun risultato. È corretto attendersi che, analogamente alle api per il recupero delle informazioni di sistema del back-office e del front-office ritornerà, ritornerà il riferimento telematico per agganciarsi ai servizi PDND degli enti terzi?

";"L’API /competent-administrations-systems/{id_competent_administrations_list} deve restituire l'elenco degli Enti Terzi che fanno riferimento alle amministrazioni competenti per cui è stato passato l'id in ingresso.
Telematic_ref è il riferimento telematico del sistema informatico Ente terzo, ovvero l'UUID del servizio sulla PDND esposto dalla componente informatica.

Se il servizio non ritorna alcun risultato, si consiglia di contattare direttamente InfoCamere in qualità di gestore del Catalogo SSU 
";n.a.
n.a.;"
Guardando lo schema ER, si evince che sulla relazione “Competenza procedimento” tra l’entità
“Procedimento” e “Struttura Ente” c’è la proprietà “Comune”. A cosa si riferisce, tenendo anche conto che nell’entità “procedimento” c’è la proprietà “Ambito territoriale” (che le API ci sembra implementino con la proprietà “Municipality”), da noi intesa come Comune di riferimento per lo specifico procedimento?";"L'ambito territoriale rappresenta il livello territoriale (nazionale, regionale, provinciale, comunale) in cui può essere applicato il procedimento, invece, l'attributo ""Comune"" della ""Struttura Ente"" rappresenta il Comune di competenza dell'amministrazione coinvolta nel procedimento.
La proprietà mucipality fa riferimento al codice istat a sei cifre del comune di riferimento.";n.a.
n.a.;"
Ogni procedimento ha una proprietà Comune\Municipality che indica il Comune ovvero il SUAP a cui il procedimento fa capo e, quindi, a cui dovrà essere presentata l’istanza. Corretto?
Chiamando la bulk /proceedings-competent-administrations/{id_proceeding_list}, e passando il codice del suddetto procedimento, vengono ritornate le (altre) Amministrazioni Competenti per lo specifico procedimento. Corretto?
Questo vuol dire che le Amministrazioni competenti, ovvero gli Enti Terzi, sono definiti in maniera statica dato il procedimento, a prescindere da quanto eventualmente dichiarato nel modulo di domanda? Chiediamo questo perché, spesso, in particolar modo nei procedimenti edilizi, il fatto che un procedimento debba essere (o non essere) mandato ad un Ente terzo lo si evince da quanto asseverato nella documentazione. In questo caso, non essendoci relazioni con altri elementi dello schema, significa che la competenza è stabilita a priori. Corretto?
La chiamata ritorna id e versione dell’amministrazione competente. Come deve essere gestita la versione?
Potremmo avere versioni differenti di uno stesso Ente terzo?";"L'ambito territoriale rappresenta il livello territoriale (nazionale, regionale, provinciale, comunale) in cui può essere applicato il procedimento, invece, l'attributo ""Comune"" della ""Struttura Ente"" rappresenta il Comune di competenza dell'amministrazione coinvolta nel procedimento.
La proprietà mucipality fa riferimento al codice istat a sei cifre del comune di riferimento.

Per quanto riguarda invece il quesito posto per il servizio ""/proceedings-competent-administrations/{id_proceeding_list}"", questo restituisce tutte le amministrazioni competenti coinvolte sui specifici procedimenti indicati tramite lista nella chiamata. Tutte le informazioni associate a livello di procedimento amminitrativo vengono fornite durante la fase di popolamento sul Catalogo, per mezzo dei Comuni tramite i servizi human-oriented offerti dal Catalogo stesso. Pertanto, si conferma che l'informazione dell'Ente Terzo coinvolto è stabilito a priori.
L'oggetto associato all'entità delle amministrazioni competenti prevede come attributo la versione, tramite il quale è possibile tracciare gli aggiornamenti di tale entità e rendere gli stessi sempre disponibili. 

Per quanto riguarda il chiarimento posto in merito alla gestione dei procedimenti di ambito edilizio, qualora vi fossero dei procedimenti di tale ambito presentati sullo sportello SUAP, verranno gestiti come endoprocedimenti da indirizzare verso gli uffici SUE di competenza.";n.a.
n.a.;"
La fattispecie (così chiamata nelle specifiche) è l’analogo dello usecase (così chiamato nelle API) che è l’analogo dell’endoprocedimento?";"Usecase e fattispecie rappresentano la stessa cosa.
L'endoprocedimento rappresenta la relazione tra una fattispecie primaria e una fattispecie secondaria dei procedimenti amministrativi. L'endoprocedimento riporta anche un terzo attributo, ovvero ""mandatory"", il quale definisce l'obbligatorietà di attivare o meno il procedimento secondario.";n.a.
n.a.;"
Da quanto emerso nel webinar del 28/11/2024 e, in parte, dalle specifiche tecniche, abbiamo inteso che la corretta interpretazione della “catena” delle informazioni (limitatamente a procedimenti, fattispecie, endoprocedimenti e amministrazioni competenti) è da intendersi secondo la seguente gerarchia:
-Dato il Comune, ottenere i procedimenti attivi (procedimenti per cui Municipality=[Comune])
-Dato il singolo procedimento ottenere l’elenco delle fattispecie
-Data la singola fattispecie ottenere:
     1) Le informazioni di tale fattispecie (primaria)
     2) L’elenco degli endoprocedimenti (ovvero fattispecie secondarie)
     3) L’elenco delle amministrazioni competenti, ovvero gli Enti terzi a cui il SUAP dovrà inoltrare l’istanza

Come prima cosa si chiede se la suddetta interpretazione è corretta. Se così fosse, concettualmente, sembrerebbe corretto partire dai procedimenti. Questo però non è in linea con l’esperienza dell’utente finale che, verosimilmente, dovrebbe partire dalle fattispecie, cioè da un’esigenza più specifica. Abbiamo però riscontrato che le fattispecie sono meno strutturate e organizzate dei procedimenti che, al contrario, sono classificati per tipology e lifeevent, anche se queste proprietà sono talvolta non coerenti con gli usecases associati.
E’ quindi da intendere che i dati forniti non contengono le informazioni necessarie per creare un processo di indirizzamento dell’utente verso il procedimento, lasciando quindi ogni soluzione libera di creare le infrastrutture proprie, purché queste, in ultima sintesi portino al codice procedimento e fattispecie previsti dal catalogo?
Se così fosse, se ne prende atto, ma si fa presente che sarebbe stato forse più coerente fornire anche una struttura per organizzare in maniera coerente ed uniforme per tutte le piattaforme l’accesso all’informazione. Questo a beneficio dell’utente finale.
";"Si conferma quanto definito per la catena delle informazioni associate a procedimenti, fattispecie, endoprocedimenti e amministrazioni competenti.
Di seguito si illustra una possibile sequenza di chiamate ai servizi metadati del Catalogo per accedere a tali informazioni, partendo da un procedimento fino ad ottenere il puntamento della componente ET coinvolta sullo stesso:

 - Recupero della ""tipology"" e ""life event"" partendo dalla ""municipality"" 
    /typologies-lifeevents

 - Recupero dei procedimenti utilizzando gli attributi ""municipality"", ""tipology e ""life event""
    /proceedings

 - Recupero delle fattispecie del procedimento tramite gli attributi ""proceeding_id"" e ""proceeding_version""
    /proceeding/{proceeding_id}/{proceeding_version}/usecase-proceedings

 - Recupero degli endoprocedimenti opzionali partendo dalla fattispecie primaria
    /usecase-proceedings/{usecase_proceedings_id}/{usecase_proceedings_version}/usecase-proceedings

 - Recupero dell'anagrafica dell'amministrazione coinvolta nel procedimento
    /proceeding/{proceeding_id}/{proceeding_version}/{municipality}/competent-administration

 - Recupero della componente informatica dell'amministrazione ET
  /competent-administration/{competent_administration_ipacode}/{competent_administration_code}/{competent_administration_version}/third-party-system

Al fine di migliorare gli artefatti tecnici esistenti, si evidenzia che è attualente in corso la creazione di una descrizione di maggiore dettaglio per garantire il recupero corretto delle informazioni del Catalogo SSU per la creazione di un procedimento SUAP (popolamento dell'instance-descriptor).";n.a.
n.a.;Vorremmo avere alcune indicazioni per quanto riguarda lo stato e l’impostazione che verrà data alla parte relativa agli Enti Terzi, in particolare per il SUE;"Relativamente all'adeguamento delle piattaforme degli Enti Terzi SUAP, sono previste due possibili soluzioni applicabili, overo l'adeguamento dei sistemi attualmente in uso, o in alternativa, l'adozione della soluzione sussidiaria.
Per quanto riguarda invece il SUE, è stata appena conclusa una prima fase di ricognizione con delle PPAA selezionate dal DFP finalizzata ad un valutazione delle piattaforme in esercizio. Seguiranno ulteriori aggiornamenti una volta terminata tale analisi.";n.a.
n.a.;Sempre per il SUE vorremmo capire se l’impianto tecnologico sarà simile a quello del SUAP;A conclusione dell'analisi, si individueranno gli interventi per l'adeguamento dei sistemi SUE, nell'intento di prevedere che gli stessi siano quanto più similari a quelli del SUAP. ;n.a.
n.a.;Sempre per la parte SUE ci servirebbero alcune informazioni circa l’impostazione che verrà data alla gestione degli oneri di urbanizzazione;"Si precisa che la tematica non è trattata all'interno delle Specifiche, considerato che le stesse afferiscono alla sola interoperabilità tra i componenti, mentre il quesito posto è relativo al comportamento della UX della componente FO.
";n.a.
229804b721cc4a93b196228ec713c620;"Ho visto che nell'e-service che l'ET espone al BO per la notifica di una CdSS, /notify, nello schema della Request, CdssNotifyMessage, ci sono solo il canale usato per la convocazione e la data.
Mancano i riferimenti ai CUI per i quali viene indetta la conferenza.
Coma fa dunque l'ET a sapere le motivazioni per cui viene indetta la conferenza e quindi di conseguenza ad agganciare la richiesta ai CUI (immagino possano essere uno o più) delle pratiche interessate per stoppare l'istruttoria collegata in attesa del risultato della conferenza?

Inoltre, come si può recuperare il file associato al campo ""cdss_admin_act_filename""?";"Confermiamo che nel CdssNotifyMessage risultano essere assenti gli attributi necessari per consentire il recupero dell'atto amministrativo allegato alla convocazione della Conferenza dei Servizi Sincrona.
Ci teniamo a precisare che le Specifiche Tecniche sono costantemente soggette a verifica e aggiornamento al fine di risolvere qualsiasi criticità riscontrata e tale segnalazione risulta essere già gestita nei vari cicli di revisione periodica. Nei prossimi aggiornamenti, verrà adeguata pertanto la struttura del messaggio riportando le informazioni utili per garantire il corretto recupero del documento tramite la chiamata al servizio ""/instance/{cui_uuid}/document/{resource_id}"". Al fine di ovviare al problema, allo stato attuale, è possibile gestire il trasferimento dell'atto tramite delle soluzioni extra-sistema.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzata nei modi previsti dalla norma.

Per quanto riguarda invece il CUI e le motivazioni, ci teniamo a precisare che:
 - il CUI è presente nel messaggio poichè è un attributo dell'oggetto NotifyMessage che è la classe padre di CdssNotifyMessage;
 - le motivazioni invece vengono riportate nell'atto amministrativo allegato alla documentazione.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente   
Dalla risposta deduco quindi che una CdSS è sempre relativa ad un solo CUI. Non è possibile avviare una CdSS per un gruppo di CUI.
E' corretto?

Operatore   
Si corretto, la convocazione è relativa ad un solo CUI"
n.a.;"Buongiorno,
vi inoltriamo la richiesta della software house Starch; come potrete notare, il testo che vi inoltriamo si aggancia ad altre 2 comunicazioni sulle quali il mittente è riuscito a fare chiarezza in autonomia:
“Buongiorno,
mi scuso ma ieri ho sbagliato a darvi l'indicazione dell'oggetto che ci veniva ritornato precedentemente (ho preso una struttura interna nostra).
Confermo comunque che ora ci viene ritornato un oggetto differente da quanto ritornato a inizio dicembre.
Prima l'oggetto aveva questa struttura:
 
{
      ""times"": {
 
??????""start"": Datetime,
 
??????""end"": Datetime,
 
??????""max_admissibility"": Datetime,
 
??????""max_integration_request"": Datetime,
 
??????""max_integration_response"": Datetime,
 
??????""max_conclusions_sending"": Datetime,
       },
      ""proceeding"": {
          ""id"": ""USEC-0000252"",
          ""version"": ""00.00.00"",
          ""description"": ""Segnalazione Certificata di ..."",          
       },
      ""adminstrative-regime"": {
          ""id"": ""SCIA"",
          ""version"": ""00.00.00"",
          ""description"": ""SCIA""
       }
   }
 
 
 
 
Adesso l'oggetto ritornato è questo (https://casa.catalogocl.impresainungiorno.it/catalogo/proceedings-administrative-regimes/PROC-0000516):
 
{
      ""times"": {
          ""max_gg_proc"": 60,
          ""max_gg_correction"": 5,
          ""max_gg_admissibility"": 5,
          ""max_gg_int_req"": 15,
          ""max_gg_int_resp"": 15,
          ""max_gg_concl_send"": 25,
          ""max_gg_cdss_req"": null
       },
      ""usecase-proceeding"": {
          ""id"": ""USEC-0000252"",
          ""version"": ""00.00.00"",
          ""description"": ""Segnalazione Certificata di ..."",
          ""proceeding_id"": ""PROC-0000516"",
          ""proceeding_version"": ""00.00.00"",
          ""schematron_phase"": null
       },
      ""adminstrative-regime"": {
          ""id"": ""SCIA"",
          ""version"": ""00.00.00"",
          ""description"": ""SCIA""
       }
   }
 
 
In merito ad altra nostra osservazione sull'impossibilità di raggiungere api.catalogocl.impresainungiorno.gov.it ci era stato detto che era stato rilasciato un aggiornamento generale del sistema. Può essere che la difformità ora riscontrata sulle API sia legata a tale rilascio? In tal caso, sarebbe utile avere un elenco delle modifiche apportate, quantomeno le modifiche che non garantiscono la backward compatibility, giusto per sapere cosa dover modificare del codice già sviluppato.
A tal proposito si chiede anche quale sia il branch che dobbiamo prendere per ufficiale. Noi ci basiamo su ""approved02"". E' corretto?
Nell'ultima call tecnica, ricordo che mi era stato detto che lo schema ER mostrato (https://raw.githubusercontent.com/AgID/specifiche-tecniche-DPR-160-2010/refs/heads/approved02/image/modello-concettuale-catalogo-SSU.svg) non era aggiornato all'ultima versione. Se ricordo bene, la modifica era relativa alla relazione ""procedimento regime"" che non era più agganciata al procedimento ma allo usecase. Cosa che riscontriamo anche nell'oggetto ritornato dall'api, ma non nello schema er.
 
Grazie mille
 
Saluti“
";"Sulla base della news (https://www.suapsue.gov.it/news/?news_id=26) pubblicata dal DFP sul sito di progetto SUAP&SUE, si evidenzia che è da considerare come branch di riferimento ""approved01"". Inoltre, come specificato da InfoCamere nell'ultimo incontro tecnico tenutosi il giorno 17/12/24, nel mese di dicembre erano in corso gli sviluppi e i test per garantire l'adeguamento del Catalogo alla versione ""approved01"".

Si precisa che non è previsto un documento di change log che riporti gli adeguamenti svolti sulle Specifiche Tecniche dal Gruppo Tecnico.
Si coglie l'occasione per evidenziare che la funzionalità ""compare"" della piattaforma GitHub permette di evidenziare le modifiche apportate tra due branch, come da documentazione ufficiale (https://docs.github.com/en/pull-requests/committing-changes-to-your-project/viewing-and-comparing-commits/comparing-commits). Riportiamo per facilitare la comparazione tra il branch ""main"" e il branch ""apporved01""  la sequenza di azioni da applicare:
   - Seleziona Tab ""Code"" in alto a sinistra
   - Seleziona il branch di interesse (""approved01"")
   - Clicca su ""Contribute"" - verrà aperta una tendina
   - Clicca su ""Compare""
   - Seleziona il branch con cui voglio effettuare una comparazione (di default viene fornito già il ""main"")
   - Tramite il tab ""Commits"" vengono mostrati i singoli commit di lavorazione
   - Tramite il tab ""Files Changed"" vengono mostrati i file aggiornati rispetto a tutti i commit effettuati sul branch
L'effetto della procedura indicata è il seguente URL ""https://github.com/AgID/specifiche-tecniche-DPR-160-2010/compare/main...approved01"".

Per quanto riguarda invece lo schema ER, si ricorda che durante le fasi di aggiornamento delle Specifiche Tecniche, il Gruppo Tecnico ha riscontrato la necessità di modificare la relazione associata ad un regime amministrativo, legando quest'ultimo alla fattispecie e non più al procedimento. La motivazione che ha spinto alla ridefinizione del modello ER del Catalogo è dovuta dal fatto che, come indicato nell'esempio posto nel quesito, gli endoprocedimenti attivati in un procedimento SUAP possono condizionare il regime amministrativo ad esso associato. Quindi, assumendo che vi siano più endoprocedimenti associati ad una fattispecie, il regime amministrativo del procedimento SUAP è determinato dalla fattispecie più condizionante, ovvero quella che richiede più azioni bloccanti per il presentatore. Interpretando di nuovo l'esempio riportato nella richiesta, applicando questa logica, considerato un procedimento che attiva la fattispecie ""Avvio esercizio di vicinato"", a cui sarà associato l'endoprocedimento (ovvero una fattispecie secondaria) ""Vendita di oggetti preziosi"", il regime amministrativo non sarà più SCIA (ovvero quello associato ad ""Avvio esercizio di vicinato"") ma diventerà Autorizzazione/Domanda. 

Si ricorda che le fattispecie sono utilizzate per: 
   - definire 1-a-1 i controlli Schematron da applicare per le verifiche automatiche, pertanto, il regime amministrativo deve essere associato a livello di fattispecie per garantire tali controlli;
   - registrare all'interno del Catalogo gli endoprocedimenti obbligatori per le stesse, ad esempio per ""Avvio esercizio di vicinato"", definendo la fattispecie ""Avvio esercizio di vicinato con vendita di oggetti preziosi"", si rende obbligatorio l'attivazione dell'endoprocedimento ""Vendita di oggetti preziosi"".

Si coglie l'occasione di segnale che sarà previsto l'aggiornamento del diagramma ER del Catalogo SSU secondo quanto precisato precedentemente.";n.a.
